# Summary: Whole-Script Confusables
# File: confusablesWholeScript.txt
# Version: 2.0
# Generated: 2006-08-15, 04:35:21 GMT
# Checkin: $Revision: 1.11 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# This data is used for determining whether a strings is a
# whole-script or mixed-script confusable.
# The mappings here ignore common and inherited script characters,
# such as accents.

# Lowercase Only

# Armenian; Cherokee: [հ]

0570          ; Armn; Cher; L #      (հ)  ARMENIAN SMALL LETTER HO
# Total code points: 10

# Armenian; Malayalam: [օ]

0585          ; Armn; Mlym; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Myanmar: [օ]

0585          ; Armn; Mymr; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Telugu: [օ]

0585          ; Armn; Telu; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Thai: [օ]

0585          ; Armn; Thai; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Canadian_Aboriginal: [ծ]

056E          ; Armn; Cans; L #      (ծ)  ARMENIAN SMALL LETTER CA

# Total code points: 1

# Bengali; Cherokee: [০]

09E6          ; Beng; Cher; L #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Devanagari: [়]

09BC          ; Beng; Deva; L #      (়)  BENGALI SIGN NUKTA

# Total code points: 1

# Bengali; Gujarati: [়]

09BC          ; Beng; Gujr; L #      (়)  BENGALI SIGN NUKTA

# Total code points: 1

# Bengali; Gurmukhi: [়৪৭]

09BC          ; Beng; Guru; L #      (়)  BENGALI SIGN NUKTA
09EA          ; Beng; Guru; L #      (৪)  BENGALI DIGIT FOUR
09ED          ; Beng; Guru; L #      (৭)  BENGALI DIGIT SEVEN

# Total code points: 3

# Bengali; Han: [০]

09E6          ; Beng; Hani; L #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Latin: [৪]

09EA          ; Beng; Latn; L #      (৪)  BENGALI DIGIT FOUR

# Total code points: 1

# Bengali; Malayalam: [০]

09E6          ; Beng; Mlym; L #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Mongolian: [০]

09E6          ; Beng; Mong; L #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Oriya: [়০৪৭]

09BC          ; Beng; Orya; L #      (়)  BENGALI SIGN NUKTA
09E6          ; Beng; Orya; L #      (০)  BENGALI DIGIT ZERO
09EA          ; Beng; Orya; L #      (৪)  BENGALI DIGIT FOUR
09ED          ; Beng; Orya; L #      (৭)  BENGALI DIGIT SEVEN

# Total code points: 4

# Cherokee; Armenian: [ᏂᏲ]

13C2          ; Cher; Armn; L #      (Ꮒ)  CHEROKEE LETTER NI
13F2          ; Cher; Armn; L #      (Ᏺ)  CHEROKEE LETTER YO

# Total code points: 2

# Cherokee; Bengali: [Ꮎ]

13BE          ; Cher; Beng; L #      (Ꮎ)  CHEROKEE LETTER NA

# Total code points: 1

# Cherokee; Cyrillic: [ᎥᎩᎽᏂᏏᏞᏢᏲ]

13A5          ; Cher; Cyrl; L #      (Ꭵ)  CHEROKEE LETTER V
13A9          ; Cher; Cyrl; L #      (Ꭹ)  CHEROKEE LETTER GI
13BD          ; Cher; Cyrl; L #      (Ꮍ)  CHEROKEE LETTER MU
13C2          ; Cher; Cyrl; L #      (Ꮒ)  CHEROKEE LETTER NI
13CF          ; Cher; Cyrl; L #      (Ꮟ)  CHEROKEE LETTER SI
13DE          ; Cher; Cyrl; L #      (Ꮮ)  CHEROKEE LETTER TLE
13E2          ; Cher; Cyrl; L #      (Ꮲ)  CHEROKEE LETTER TLV
13F2          ; Cher; Cyrl; L #      (Ᏺ)  CHEROKEE LETTER YO

# Total code points: 8

# Cherokee; Georgian: [ᎩᎽ]

13A9          ; Cher; Geor; L #      (Ꭹ)  CHEROKEE LETTER GI
13BD          ; Cher; Geor; L #      (Ꮍ)  CHEROKEE LETTER MU

# Total code points: 2

# Cherokee; Greek: [ᎥᏢ]

13A5          ; Cher; Grek; L #      (Ꭵ)  CHEROKEE LETTER V
13E2          ; Cher; Grek; L #      (Ꮲ)  CHEROKEE LETTER TLV

# Total code points: 2

# Cherokee; Han: [Ꮎ]

13BE          ; Cher; Hani; L #      (Ꮎ)  CHEROKEE LETTER NA

# Total code points: 1

# Cherokee; Latin: [ᎥᎩᎳᎽᏂᏏᏔᏞᏢᏲ]

13A5          ; Cher; Latn; L #      (Ꭵ)  CHEROKEE LETTER V
13A9          ; Cher; Latn; L #      (Ꭹ)  CHEROKEE LETTER GI
13B3          ; Cher; Latn; L #      (Ꮃ)  CHEROKEE LETTER LA
13BD          ; Cher; Latn; L #      (Ꮍ)  CHEROKEE LETTER MU
13C2          ; Cher; Latn; L #      (Ꮒ)  CHEROKEE LETTER NI
13CF          ; Cher; Latn; L #      (Ꮟ)  CHEROKEE LETTER SI
13D4          ; Cher; Latn; L #      (Ꮤ)  CHEROKEE LETTER TA
13DE          ; Cher; Latn; L #      (Ꮮ)  CHEROKEE LETTER TLE
13E2          ; Cher; Latn; L #      (Ꮲ)  CHEROKEE LETTER TLV
13F2          ; Cher; Latn; L #      (Ᏺ)  CHEROKEE LETTER YO

# Total code points: 10

# Cherokee; Malayalam: [Ꮎ]

13BE          ; Cher; Mlym; L #      (Ꮎ)  CHEROKEE LETTER NA

# Total code points: 1

# Cherokee; Mongolian: [Ꮎ]

13BE          ; Cher; Mong; L #      (Ꮎ)  CHEROKEE LETTER NA

# Total code points: 1

# Cherokee; Oriya: [Ꮎ]

13BE          ; Cher; Orya; L #      (Ꮎ)  CHEROKEE LETTER NA

# Total code points: 1

# Cherokee; Canadian_Aboriginal: [ᎪᎫᎳᎻᏏᏔᏙᏞᏢᏧᏴ]

13AA..13AB    ; Cher; Cans; L #  [2] (Ꭺ..Ꭻ)  CHEROKEE LETTER GO..CHEROKEE LETTER GU
13B3          ; Cher; Cans; L #      (Ꮃ)  CHEROKEE LETTER LA
13BB          ; Cher; Cans; L #      (Ꮋ)  CHEROKEE LETTER MI
13CF          ; Cher; Cans; L #      (Ꮟ)  CHEROKEE LETTER SI
13D4          ; Cher; Cans; L #      (Ꮤ)  CHEROKEE LETTER TA
13D9          ; Cher; Cans; L #      (Ꮩ)  CHEROKEE LETTER DO
13DE          ; Cher; Cans; L #      (Ꮮ)  CHEROKEE LETTER TLE
13E2          ; Cher; Cans; L #      (Ꮲ)  CHEROKEE LETTER TLV
13E7          ; Cher; Cans; L #      (Ꮷ)  CHEROKEE LETTER TSU
13F4          ; Cher; Cans; L #      (Ᏼ)  CHEROKEE LETTER YV

# Total code points: 11

# Cyrillic; Armenian: [ојћѳһө]

043E          ; Cyrl; Armn; L #      (о)  CYRILLIC SMALL LETTER O
0458          ; Cyrl; Armn; L #      (ј)  CYRILLIC SMALL LETTER JE
045B          ; Cyrl; Armn; L #      (ћ)  CYRILLIC SMALL LETTER TSHE
0473          ; Cyrl; Armn; L #      (ѳ)  CYRILLIC SMALL LETTER FITA
04BB          ; Cyrl; Armn; L #      (һ)  CYRILLIC SMALL LETTER SHHA
04E9          ; Cyrl; Armn; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 6

# Cyrillic; Cherokee: [руъіћүұһӀ]

0440          ; Cyrl; Cher; L #      (р)  CYRILLIC SMALL LETTER ER
0443          ; Cyrl; Cher; L #      (у)  CYRILLIC SMALL LETTER U
044A          ; Cyrl; Cher; L #      (ъ)  CYRILLIC SMALL LETTER HARD SIGN
0456          ; Cyrl; Cher; L #      (і)  CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
045B          ; Cyrl; Cher; L #      (ћ)  CYRILLIC SMALL LETTER TSHE
04AF          ; Cyrl; Cher; L #      (ү)  CYRILLIC SMALL LETTER STRAIGHT U
04B1          ; Cyrl; Cher; L #      (ұ)  CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE
04BB          ; Cyrl; Cher; L #      (һ)  CYRILLIC SMALL LETTER SHHA
04C0          ; Cyrl; Cher; L #      (Ӏ)  CYRILLIC LETTER PALOCHKA

# Total code points: 9

# Cyrillic; Devanagari: [оѳө]

043E          ; Cyrl; Deva; L #      (о)  CYRILLIC SMALL LETTER O
0473          ; Cyrl; Deva; L #      (ѳ)  CYRILLIC SMALL LETTER FITA
04E9          ; Cyrl; Deva; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 3

# Cyrillic; Georgian: [уүұ]

0443          ; Cyrl; Geor; L #      (у)  CYRILLIC SMALL LETTER U
04AF          ; Cyrl; Geor; L #      (ү)  CYRILLIC SMALL LETTER STRAIGHT U
04B1          ; Cyrl; Geor; L #      (ұ)  CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE

# Total code points: 3

# Cyrillic; Greek: [ко-рфєіѳѵқҟө]

043A          ; Cyrl; Grek; L #      (к)  CYRILLIC SMALL LETTER KA
043E..0440    ; Cyrl; Grek; L #  [3] (о..р)  CYRILLIC SMALL LETTER O..CYRILLIC SMALL LETTER ER
0444          ; Cyrl; Grek; L #      (ф)  CYRILLIC SMALL LETTER EF
0454          ; Cyrl; Grek; L #      (є)  CYRILLIC SMALL LETTER UKRAINIAN IE
0456          ; Cyrl; Grek; L #      (і)  CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
0473          ; Cyrl; Grek; L #      (ѳ)  CYRILLIC SMALL LETTER FITA
0475          ; Cyrl; Grek; L #      (ѵ)  CYRILLIC SMALL LETTER IZHITSA
049B          ; Cyrl; Grek; L #      (қ)  CYRILLIC SMALL LETTER KA WITH DESCENDER
049F          ; Cyrl; Grek; L #      (ҟ)  CYRILLIC SMALL LETTER KA WITH STROKE
04E9          ; Cyrl; Grek; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 12

# Cyrillic; Gujarati: [оѳө]

043E          ; Cyrl; Gujr; L #      (о)  CYRILLIC SMALL LETTER O
0473          ; Cyrl; Gujr; L #      (ѳ)  CYRILLIC SMALL LETTER FITA
04E9          ; Cyrl; Gujr; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 3

# Cyrillic; Gurmukhi: [оѳө]

043E          ; Cyrl; Guru; L #      (о)  CYRILLIC SMALL LETTER O
0473          ; Cyrl; Guru; L #      (ѳ)  CYRILLIC SMALL LETTER FITA
04E9          ; Cyrl; Guru; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 3

# Cyrillic; Kannada: [оѳө]

043E          ; Cyrl; Knda; L #      (о)  CYRILLIC SMALL LETTER O
0473          ; Cyrl; Knda; L #      (ѳ)  CYRILLIC SMALL LETTER FITA
04E9          ; Cyrl; Knda; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 3

# Cyrillic; Lao: [оѳө]

043E          ; Cyrl; Laoo; L #      (о)  CYRILLIC SMALL LETTER O
0473          ; Cyrl; Laoo; L #      (ѳ)  CYRILLIC SMALL LETTER FITA
04E9          ; Cyrl; Laoo; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 3

# Cyrillic; Latin: [агекорсухъ-ьє-іјћѳѵґғқҟҫүұһӀӕәӡөԁ]

0430          ; Cyrl; Latn; L #      (а)  CYRILLIC SMALL LETTER A
0433          ; Cyrl; Latn; L #      (г)  CYRILLIC SMALL LETTER GHE
0435          ; Cyrl; Latn; L #      (е)  CYRILLIC SMALL LETTER IE
043A          ; Cyrl; Latn; L #      (к)  CYRILLIC SMALL LETTER KA
043E          ; Cyrl; Latn; L #      (о)  CYRILLIC SMALL LETTER O
0440..0441    ; Cyrl; Latn; L #  [2] (р..с)  CYRILLIC SMALL LETTER ER..CYRILLIC SMALL LETTER ES
0443          ; Cyrl; Latn; L #      (у)  CYRILLIC SMALL LETTER U
0445          ; Cyrl; Latn; L #      (х)  CYRILLIC SMALL LETTER HA
044A..044C    ; Cyrl; Latn; L #  [3] (ъ..ь)  CYRILLIC SMALL LETTER HARD SIGN..CYRILLIC SMALL LETTER SOFT SIGN
0454..0456    ; Cyrl; Latn; L #  [3] (є..і)  CYRILLIC SMALL LETTER UKRAINIAN IE..CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
0458          ; Cyrl; Latn; L #      (ј)  CYRILLIC SMALL LETTER JE
045B          ; Cyrl; Latn; L #      (ћ)  CYRILLIC SMALL LETTER TSHE
0473          ; Cyrl; Latn; L #      (ѳ)  CYRILLIC SMALL LETTER FITA
0475          ; Cyrl; Latn; L #      (ѵ)  CYRILLIC SMALL LETTER IZHITSA
0491          ; Cyrl; Latn; L #      (ґ)  CYRILLIC SMALL LETTER GHE WITH UPTURN
0493          ; Cyrl; Latn; L #      (ғ)  CYRILLIC SMALL LETTER GHE WITH STROKE
049B          ; Cyrl; Latn; L #      (қ)  CYRILLIC SMALL LETTER KA WITH DESCENDER
049F          ; Cyrl; Latn; L #      (ҟ)  CYRILLIC SMALL LETTER KA WITH STROKE
04AB          ; Cyrl; Latn; L #      (ҫ)  CYRILLIC SMALL LETTER ES WITH DESCENDER
04AF          ; Cyrl; Latn; L #      (ү)  CYRILLIC SMALL LETTER STRAIGHT U
04B1          ; Cyrl; Latn; L #      (ұ)  CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE
04BB          ; Cyrl; Latn; L #      (һ)  CYRILLIC SMALL LETTER SHHA
04C0          ; Cyrl; Latn; L #      (Ӏ)  CYRILLIC LETTER PALOCHKA
04D5          ; Cyrl; Latn; L #      (ӕ)  CYRILLIC SMALL LIGATURE A IE
04D9          ; Cyrl; Latn; L #      (ә)  CYRILLIC SMALL LETTER SCHWA
04E1          ; Cyrl; Latn; L #      (ӡ)  CYRILLIC SMALL LETTER ABKHASIAN DZE
04E9          ; Cyrl; Latn; L #      (ө)  CYRILLIC SMALL LETTER BARRED O
0501          ; Cyrl; Latn; L #      (ԁ)  CYRILLIC SMALL LETTER KOMI DE

# Total code points: 33

# Cyrillic; Malayalam: [оѳө]

043E          ; Cyrl; Mlym; L #      (о)  CYRILLIC SMALL LETTER O
0473          ; Cyrl; Mlym; L #      (ѳ)  CYRILLIC SMALL LETTER FITA
04E9          ; Cyrl; Mlym; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 3

# Cyrillic; Myanmar: [оѳө]

043E          ; Cyrl; Mymr; L #      (о)  CYRILLIC SMALL LETTER O
0473          ; Cyrl; Mymr; L #      (ѳ)  CYRILLIC SMALL LETTER FITA
04E9          ; Cyrl; Mymr; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 3

# Cyrillic; Telugu: [оѳө]

043E          ; Cyrl; Telu; L #      (о)  CYRILLIC SMALL LETTER O
0473          ; Cyrl; Telu; L #      (ѳ)  CYRILLIC SMALL LETTER FITA
04E9          ; Cyrl; Telu; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 3

# Cyrillic; Thai: [оѳө]

043E          ; Cyrl; Thai; L #      (о)  CYRILLIC SMALL LETTER O
0473          ; Cyrl; Thai; L #      (ѳ)  CYRILLIC SMALL LETTER FITA
04E9          ; Cyrl; Thai; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 3

# Cyrillic; Canadian_Aboriginal: [рхъӀԁ]

0440          ; Cyrl; Cans; L #      (р)  CYRILLIC SMALL LETTER ER
0445          ; Cyrl; Cans; L #      (х)  CYRILLIC SMALL LETTER HA
044A          ; Cyrl; Cans; L #      (ъ)  CYRILLIC SMALL LETTER HARD SIGN
04C0          ; Cyrl; Cans; L #      (Ӏ)  CYRILLIC LETTER PALOCHKA
0501          ; Cyrl; Cans; L #      (ԁ)  CYRILLIC SMALL LETTER KOMI DE

# Total code points: 5

# Devanagari; Armenian: [०]

0966          ; Deva; Armn; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Bengali: [़]

093C          ; Deva; Beng; L #      (़)  DEVANAGARI SIGN NUKTA

# Total code points: 1

# Devanagari; Cyrillic: [०]

0966          ; Deva; Cyrl; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Greek: [०]

0966          ; Deva; Grek; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Gujarati: [ं़ऽुू्०२-४८]

0902          ; Deva; Gujr; L #      (ं)  DEVANAGARI SIGN ANUSVARA
093C..093D    ; Deva; Gujr; L #  [2] (़..ऽ)  DEVANAGARI SIGN NUKTA..DEVANAGARI SIGN AVAGRAHA
0941..0942    ; Deva; Gujr; L #  [2] (ु..ू)  DEVANAGARI VOWEL SIGN U..DEVANAGARI VOWEL SIGN UU
094D          ; Deva; Gujr; L #      (्)  DEVANAGARI SIGN VIRAMA
0966          ; Deva; Gujr; L #      (०)  DEVANAGARI DIGIT ZERO
0968..096A    ; Deva; Gujr; L #  [3] (२..४)  DEVANAGARI DIGIT TWO..DEVANAGARI DIGIT FOUR
096E          ; Deva; Gujr; L #      (८)  DEVANAGARI DIGIT EIGHT

# Total code points: 11

# Devanagari; Gurmukhi: [ं़ॆ्०]

0902          ; Deva; Guru; L #      (ं)  DEVANAGARI SIGN ANUSVARA
093C          ; Deva; Guru; L #      (़)  DEVANAGARI SIGN NUKTA
0946          ; Deva; Guru; L #      (ॆ)  DEVANAGARI VOWEL SIGN SHORT E
094D          ; Deva; Guru; L #      (्)  DEVANAGARI SIGN VIRAMA
0966          ; Deva; Guru; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 5

# Devanagari; Hebrew: [ं॔]

0902          ; Deva; Hebr; L #      (ं)  DEVANAGARI SIGN ANUSVARA
0954          ; Deva; Hebr; L #      (॔)  DEVANAGARI ACUTE ACCENT

# Total code points: 2

# Devanagari; Kannada: [०]

0966          ; Deva; Knda; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Lao: [०]

0966          ; Deva; Laoo; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Latin: [०]

0966          ; Deva; Latn; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Malayalam: [०]

0966          ; Deva; Mlym; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Myanmar: [०]

0966          ; Deva; Mymr; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Oriya: [़]

093C          ; Deva; Orya; L #      (़)  DEVANAGARI SIGN NUKTA

# Total code points: 1

# Devanagari; Tamil: [ं]

0902          ; Deva; Taml; L #      (ं)  DEVANAGARI SIGN ANUSVARA

# Total code points: 1

# Devanagari; Telugu: [०]

0966          ; Deva; Telu; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Thai: [०]

0966          ; Deva; Thai; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Georgian; Cherokee: [ყ]

10E7          ; Geor; Cher; L #      (ყ)  GEORGIAN LETTER QAR

# Total code points: 1

# Georgian; Cyrillic: [ყ]

10E7          ; Geor; Cyrl; L #      (ყ)  GEORGIAN LETTER QAR

# Total code points: 1

# Georgian; Latin: [ყ]

10E7          ; Geor; Latn; L #      (ყ)  GEORGIAN LETTER QAR

# Total code points: 1

# Greek; Armenian: [δηου]

03B4          ; Grek; Armn; L #      (δ)  GREEK SMALL LETTER DELTA
03B7          ; Grek; Armn; L #      (η)  GREEK SMALL LETTER ETA
03BF          ; Grek; Armn; L #      (ο)  GREEK SMALL LETTER OMICRON
03C5          ; Grek; Armn; L #      (υ)  GREEK SMALL LETTER UPSILON

# Total code points: 4

# Greek; Cherokee: [ιρ]

03B9          ; Grek; Cher; L #      (ι)  GREEK SMALL LETTER IOTA
03C1          ; Grek; Cher; L #      (ρ)  GREEK SMALL LETTER RHO

# Total code points: 2

# Greek; Cyrillic: [εικνο-ρφ]

03B5          ; Grek; Cyrl; L #      (ε)  GREEK SMALL LETTER EPSILON
03B9..03BA    ; Grek; Cyrl; L #  [2] (ι..κ)  GREEK SMALL LETTER IOTA..GREEK SMALL LETTER KAPPA
03BD          ; Grek; Cyrl; L #      (ν)  GREEK SMALL LETTER NU
03BF..03C1    ; Grek; Cyrl; L #  [3] (ο..ρ)  GREEK SMALL LETTER OMICRON..GREEK SMALL LETTER RHO
03C6          ; Grek; Cyrl; L #      (φ)  GREEK SMALL LETTER PHI

# Total code points: 8

# Greek; Devanagari: [ο]

03BF          ; Grek; Deva; L #      (ο)  GREEK SMALL LETTER OMICRON

# Total code points: 1

# Greek; Gujarati: [ο]

03BF          ; Grek; Gujr; L #      (ο)  GREEK SMALL LETTER OMICRON

# Total code points: 1

# Greek; Gurmukhi: [ο]

03BF          ; Grek; Guru; L #      (ο)  GREEK SMALL LETTER OMICRON

# Total code points: 1

# Greek; Kannada: [ο]

03BF          ; Grek; Knda; L #      (ο)  GREEK SMALL LETTER OMICRON

# Total code points: 1

# Greek; Lao: [ο]

03BF          ; Grek; Laoo; L #      (ο)  GREEK SMALL LETTER OMICRON

# Total code points: 1

# Greek; Latin: [εηικνορυ]

03B5          ; Grek; Latn; L #      (ε)  GREEK SMALL LETTER EPSILON
03B7          ; Grek; Latn; L #      (η)  GREEK SMALL LETTER ETA
03B9..03BA    ; Grek; Latn; L #  [2] (ι..κ)  GREEK SMALL LETTER IOTA..GREEK SMALL LETTER KAPPA
03BD          ; Grek; Latn; L #      (ν)  GREEK SMALL LETTER NU
03BF          ; Grek; Latn; L #      (ο)  GREEK SMALL LETTER OMICRON
03C1          ; Grek; Latn; L #      (ρ)  GREEK SMALL LETTER RHO
03C5          ; Grek; Latn; L #      (υ)  GREEK SMALL LETTER UPSILON

# Total code points: 8

# Greek; Malayalam: [ο]

03BF          ; Grek; Mlym; L #      (ο)  GREEK SMALL LETTER OMICRON

# Total code points: 1

# Greek; Myanmar: [ο]

03BF          ; Grek; Mymr; L #      (ο)  GREEK SMALL LETTER OMICRON

# Total code points: 1

# Greek; Telugu: [ο]

03BF          ; Grek; Telu; L #      (ο)  GREEK SMALL LETTER OMICRON

# Total code points: 1

# Greek; Thai: [ο]

03BF          ; Grek; Thai; L #      (ο)  GREEK SMALL LETTER OMICRON

# Total code points: 1

# Greek; Canadian_Aboriginal: [δρ]

03B4          ; Grek; Cans; L #      (δ)  GREEK SMALL LETTER DELTA
03C1          ; Grek; Cans; L #      (ρ)  GREEK SMALL LETTER RHO

# Total code points: 2

# Gujarati; Armenian: [૦]

0AE6          ; Gujr; Armn; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Bengali: [઼]

0ABC          ; Gujr; Beng; L #      (઼)  GUJARATI SIGN NUKTA

# Total code points: 1

# Gujarati; Cyrillic: [૦]

0AE6          ; Gujr; Cyrl; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Devanagari: [ં઼ઽુૂ્૦૨-૪૮]

0A82          ; Gujr; Deva; L #      (ં)  GUJARATI SIGN ANUSVARA
0ABC..0ABD    ; Gujr; Deva; L #  [2] (઼..ઽ)  GUJARATI SIGN NUKTA..GUJARATI SIGN AVAGRAHA
0AC1..0AC2    ; Gujr; Deva; L #  [2] (ુ..ૂ)  GUJARATI VOWEL SIGN U..GUJARATI VOWEL SIGN UU
0ACD          ; Gujr; Deva; L #      (્)  GUJARATI SIGN VIRAMA
0AE6          ; Gujr; Deva; L #      (૦)  GUJARATI DIGIT ZERO
0AE8..0AEA    ; Gujr; Deva; L #  [3] (૨..૪)  GUJARATI DIGIT TWO..GUJARATI DIGIT FOUR
0AEE          ; Gujr; Deva; L #      (૮)  GUJARATI DIGIT EIGHT

# Total code points: 11

# Gujarati; Greek: [૦]

0AE6          ; Gujr; Grek; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Gurmukhi: [ં઼્૦]

0A82          ; Gujr; Guru; L #      (ં)  GUJARATI SIGN ANUSVARA
0ABC          ; Gujr; Guru; L #      (઼)  GUJARATI SIGN NUKTA
0ACD          ; Gujr; Guru; L #      (્)  GUJARATI SIGN VIRAMA
0AE6          ; Gujr; Guru; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 4

# Gujarati; Hebrew: [ં]

0A82          ; Gujr; Hebr; L #      (ં)  GUJARATI SIGN ANUSVARA

# Total code points: 1

# Gujarati; Kannada: [૦]

0AE6          ; Gujr; Knda; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Lao: [૦]

0AE6          ; Gujr; Laoo; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

